"CODE_ROME","NOM_METIER","taux_tension","NBR_POSTE_RECHERCHER","CAUSE","EXPERIENCE_REQUISE","ID_SECTEUR","age_median","SALAIRE_ANNUEL_MOYEN"
A1101,Aide à domicile,"0.35","4535",Rupture entre formation et compétences demandées.,"1",Services,"48","24927"
A1101,Aide à domicile,"0.92","12527",Métier saisonnier avec fort turn-over.,"2",Agroalimentaire,"45","17581"
H2502,Plombier / Chauffagiste,"0.35","23435",Rupture entre formation et compétences demandées.,"7",BTP,"33","18137"
H2502,Plombier / Chauffagiste,"0.2","26597",Compétences rares et forte concurrence entre entreprises.,"3",Commerce,"33","20335"
H2502,Plombier / Chauffagiste,"0.2","6010",Rupture entre formation et compétences demandées.,"7",Informatique,"32","54252"
H2502,Plombier / Chauffagiste,"0.85","39778",Métier saisonnier avec fort turn-over.,"3",Administration,"39","19768"
M1607,Développeur informatique,"0.2","18393",Rémunération peu attractive et conditions difficiles.,"3",Santé,"34","16819"
M1607,Développeur informatique,"0.92","27584",Demande croissante liée à l'évolution démographique.,"5",Informatique,"27","51075"
M1607,Développeur informatique,"0.05","40662",Difficulté de recrutement liée au manque de formation spécialisée.,"5",BTP,"33","47075"
G1201,Serveur de restaurant,"0.92","25245",Redistribution géographique des emplois.,"5",Santé,"40","21528"
G1201,Serveur de restaurant,"0.92","7767",Rupture entre formation et compétences demandées.,"1",Administration,"40","17733"
G1201,Serveur de restaurant,"0.2","49643",Niveau de qualification élevé requis.,"7",Informatique,"47","51295"
N4105,Conducteur de poids lourds,"0.92","17612",Automatisation partielle réduisant les besoins.,"3",Informatique,"45","36968"
N4105,Conducteur de poids lourds,"0.35","17692",Demande croissante liée à l'évolution démographique.,"5",Informatique,"26","54780"
N4105,Conducteur de poids lourds,"0.92","16501",Rémunération peu attractive et conditions difficiles.,"1",Transport,"46","52820"
N4105,Conducteur de poids lourds,"0.85","30675",Niveau de qualification élevé requis.,"2",Transport,"28","45847"
C1703,Infirmier(e) diplômé(e),"0.35","3188",Demande croissante liée à l'évolution démographique.,"5",Commerce,"41","28609"
C1703,Infirmier(e) diplômé(e),"0.5","17823",Rémunération peu attractive et conditions difficiles.,"1",Informatique,"36","18942"
K2103,Technicien de maintenance industrielle,"0.05","48861",Compétences rares et forte concurrence entre entreprises.,"5",Services,"47","46964"
K2103,Technicien de maintenance industrielle,"0.75","23647",Rémunération peu attractive et conditions difficiles.,"10",Informatique,"35","60237"
D1206,Ouvrier du bâtiment,"0.85","37894",Rémunération peu attractive et conditions difficiles.,"5",Informatique,"47","24172"
D1206,Ouvrier du bâtiment,"0.98","8778",Automatisation partielle réduisant les besoins.,"2",Santé,"50","21192"
D1206,Ouvrier du bâtiment,"0.35","15715",Compétences rares et forte concurrence entre entreprises.,"3",Administration,"38","20310"
E1102,Comptable,"0.92","20002",Métier saisonnier avec fort turn-over.,"10",Commerce,"44","47297"
E1102,Comptable,"0.65","26215",Rupture entre formation et compétences demandées.,"3",BTP,"42","30928"
E1102,Comptable,"0.35","27144",Difficulté de recrutement liée au manque de formation spécialisée.,"1",BTP,"47","47821"
E1102,Comptable,"0.75","24650",Redistribution géographique des emplois.,"10",Administration,"50","35215"
F3301,Agent de sécurité,"0.35","19284",Demande croissante liée à l'évolution démographique.,"0",Transport,"32","59786"
F3301,Agent de sécurité,"0.2","11609",Demande croissante liée à l'évolution démographique.,"5",BTP,"43","49884"
F3301,Agent de sécurité,"0.5","7812",Automatisation partielle réduisant les besoins.,"1",Santé,"48","15410"
F3301,Agent de sécurité,"0.1","27250",Automatisation partielle réduisant les besoins.,"1",Administration,"25","26237"
J1201,Enseignant du premier degré,"0.65","40484",Métier saisonnier avec fort turn-over.,"2",Commerce,"30","20419"
J1201,Enseignant du premier degré,"0.2","34076",Métier saisonnier avec fort turn-over.,"7",BTP,"37","32656"
J1201,Enseignant du premier degré,"0.92","23193",Automatisation partielle réduisant les besoins.,"5",Commerce,"50","16705"
L2104,Vendeur / Conseiller en magasin,"0.92","9537",Redistribution géographique des emplois.,"7",Agroalimentaire,"31","14342"
L2104,Vendeur / Conseiller en magasin,"0.1","42709",Métier saisonnier avec fort turn-over.,"1",Transport,"42","60420"
P1202,Caissier / Caissière,"0.98","42756",Automatisation partielle réduisant les besoins.,"10",Santé,"31","51146"
P1202,Caissier / Caissière,"0.75","42752",Redistribution géographique des emplois.,"1",Santé,"49","47000"
P1202,Caissier / Caissière,"0.85","18468",Niveau de qualification élevé requis.,"0",Transport,"27","38652"
P1202,Caissier / Caissière,"0.2","23063",Automatisation partielle réduisant les besoins.,"7",Services,"28","24598"
S5404,Technicien télécom,"0.1","49113",Automatisation partielle réduisant les besoins.,"0",BTP,"44","40608"
S5404,Technicien télécom,"0.2","20506",Compétences rares et forte concurrence entre entreprises.,"0",Informatique,"28","18580"
S5404,Technicien télécom,"0.75","20369",Automatisation partielle réduisant les besoins.,"5",Administration,"46","45485"
T9401,Assistant administratif,"0.1","18761",Rémunération peu attractive et conditions difficiles.,"3",Commerce,"46","64838"
T9401,Assistant administratif,"0.35","9971",Automatisation partielle réduisant les besoins.,"7",Transport,"50","18573"
T9401,Assistant administratif,"0.05","18445",Automatisation partielle réduisant les besoins.,"10",Agroalimentaire,"40","15089"
Q1503,Cuisinier,"0.98","33936",Redistribution géographique des emplois.,"0",Informatique,"26","46305"
Q1503,Cuisinier,"0.85","28873",Métier saisonnier avec fort turn-over.,"7",Services,"36","19062"
Q1503,Cuisinier,"0.5","49459",Rupture entre formation et compétences demandées.,"0",Informatique,"30","55357"
R3002,Chauffeur de taxi / VTC,"0.05","6162",Compétences rares et forte concurrence entre entreprises.,"3",Administration,"33","64894"
R3002,Chauffeur de taxi / VTC,"0.65","12105",Automatisation partielle réduisant les besoins.,"5",Informatique,"38","47728"
R3002,Chauffeur de taxi / VTC,"0.85","31859",Rémunération peu attractive et conditions difficiles.,"0",Agroalimentaire,"45","26296"
B1401,Soudeur,"0.05","14538",Automatisation partielle réduisant les besoins.,"5",Commerce,"34","37366"
B1401,Soudeur,"0.35","22926",Compétences rares et forte concurrence entre entreprises.,"5",Services,"34","21478"
V4305,Analyste de données,"0.65","3775",Rupture entre formation et compétences demandées.,"7",Commerce,"45","58983"
V4305,Analyste de données,"0.65","1145",Demande croissante liée à l'évolution démographique.,"0",Informatique,"32","62037"
X2202,Chargé de recrutement,"0.65","38266",Métier saisonnier avec fort turn-over.,"2",Administration,"48","56512"
X2202,Chargé de recrutement,"0.35","36177",Rupture entre formation et compétences demandées.,"10",Santé,"37","39856"
Y3101,Psychologue,"0.35","31308",Demande croissante liée à l'évolution démographique.,"5",Santé,"33","41125"
Y3101,Psychologue,"0.85","5652",Difficulté de recrutement liée au manque de formation spécialisée.,"10",Transport,"50","35479"
Y3101,Psychologue,"0.85","4899",Rémunération peu attractive et conditions difficiles.,"2",Administration,"47","47242"
Z4101,Électricien,"0.1","5705",Difficulté de recrutement liée au manque de formation spécialisée.,"0",Agroalimentaire,"37","44728"
Z4101,Électricien,"0.1","37038",Métier saisonnier avec fort turn-over.,"1",Transport,"35","49501"
Z4101,Électricien,"0.92","21780",Automatisation partielle réduisant les besoins.,"5",Administration,"32","31066"
U2102,Jardinier paysagiste,"0.98","3309",Redistribution géographique des emplois.,"2",Administration,"38","26320"
U2102,Jardinier paysagiste,"0.65","2218",Automatisation partielle réduisant les besoins.,"7",Administration,"25","58406"
U2102,Jardinier paysagiste,"0.35","32043",Demande croissante liée à l'évolution démographique.,"7",Administration,"44","60704"
O1601,Pharmacien,"0.2","24831",Compétences rares et forte concurrence entre entreprises.,"5",Agroalimentaire,"45","53766"
O1601,Pharmacien,"0.98","29318",Difficulté de recrutement liée au manque de formation spécialisée.,"3",Administration,"43","50953"
W2003,Graphiste,"0.98","18453",Difficulté de recrutement liée au manque de formation spécialisée.,"0",Santé,"34","56567"
W2003,Graphiste,"0.1","4535",Rupture entre formation et compétences demandées.,"7",Administration,"41","19226"
AA101,Manutentionnaire,"0.85","24327",Métier saisonnier avec fort turn-over.,"3",Agroalimentaire,"35","25275"
AA101,Manutentionnaire,"0.85","27004",Niveau de qualification élevé requis.,"10",BTP,"33","56052"
AA101,Manutentionnaire,"0.2","14049",Demande croissante liée à l'évolution démographique.,"1",Transport,"41","14540"
BB202,Téléconseiller,"0.2","32104",Automatisation partielle réduisant les besoins.,"7",Santé,"47","52396"
BB202,Téléconseiller,"0.92","30672",Redistribution géographique des emplois.,"1",Administration,"25","22397"
CC303,Ingénieur R&D,"0.98","13937",Rémunération peu attractive et conditions difficiles.,"3",Agroalimentaire,"45","59049"
CC303,Ingénieur R&D,"0.35","2417",Compétences rares et forte concurrence entre entreprises.,"5",Transport,"48","62107"
DD404,Architecte,"0.5","31033",Rémunération peu attractive et conditions difficiles.,"5",Informatique,"49","21700"
DD404,Architecte,"0.05","28510",Métier saisonnier avec fort turn-over.,"3",BTP,"30","23257"
EE505,Data Scientist,"0.92","14264",Métier saisonnier avec fort turn-over.,"7",Transport,"30","35778"
EE505,Data Scientist,"0.1","23700",Difficulté de recrutement liée au manque de formation spécialisée.,"3",BTP,"37","33816"
EE505,Data Scientist,"0.85","20575",Difficulté de recrutement liée au manque de formation spécialisée.,"0",Transport,"47","29940"
FF606,Chef de projet IT,"0.35","44404",Compétences rares et forte concurrence entre entreprises.,"0",Services,"45","51682"
FF606,Chef de projet IT,"0.65","43719",Difficulté de recrutement liée au manque de formation spécialisée.,"1",Transport,"43","52373"
FF606,Chef de projet IT,"0.85","6123",Difficulté de recrutement liée au manque de formation spécialisée.,"0",Agroalimentaire,"33","19062"
FF606,Chef de projet IT,"0.35","4648",Rupture entre formation et compétences demandées.,"3",BTP,"37","41756"
GG707,Responsable qualité,"0.5","6623",Difficulté de recrutement liée au manque de formation spécialisée.,"5",Administration,"26","57127"
GG707,Responsable qualité,"0.65","30813",Redistribution géographique des emplois.,"7",Santé,"45","23895"
GG707,Responsable qualité,"0.92","46538",Rupture entre formation et compétences demandées.,"1",Services,"45","20005"
GG707,Responsable qualité,"0.65","5227",Rémunération peu attractive et conditions difficiles.,"2",Services,"38","32986"
HH808,Mécanicien automobile,"0.05","6345",Compétences rares et forte concurrence entre entreprises.,"7",Administration,"42","39918"
HH808,Mécanicien automobile,"0.65","31157",Redistribution géographique des emplois.,"7",BTP,"36","21203"
HH808,Mécanicien automobile,"0.65","28623",Automatisation partielle réduisant les besoins.,"10",Agroalimentaire,"27","53289"
HH808,Mécanicien automobile,"0.98","11815",Rupture entre formation et compétences demandées.,"2",Agroalimentaire,"39","21275"
II909,Agent d'entretien,"0.05","47226",Demande croissante liée à l'évolution démographique.,"0",Administration,"25","63007"
II909,Agent d'entretien,"0.65","10369",Automatisation partielle réduisant les besoins.,"5",Santé,"27","24529"
II909,Agent d'entretien,"0.98","32219",Automatisation partielle réduisant les besoins.,"2",Commerce,"45","27290"
JJ010,Opticien-lunetier,"0.35","29130",Demande croissante liée à l'évolution démographique.,"10",Informatique,"31","30540"
JJ010,Opticien-lunetier,"0.92","44194",Demande croissante liée à l'évolution démographique.,"5",Agroalimentaire,"30","60676"
KK111,Commercial B2B,"0.98","27798",Demande croissante liée à l'évolution démographique.,"5",Services,"25","31727"
KK111,Commercial B2B,"0.65","15519",Automatisation partielle réduisant les besoins.,"0",Services,"45","37833"
KK111,Commercial B2B,"0.35","44235",Redistribution géographique des emplois.,"2",Services,"38","16180"
KK111,Commercial B2B,"0.05","25080",Rémunération peu attractive et conditions difficiles.,"7",Services,"31","62246"
LL212,Chauffagiste,"0.65","36701",Niveau de qualification élevé requis.,"7",Commerce,"48","59535"
LL212,Chauffagiste,"0.98","48992",Rémunération peu attractive et conditions difficiles.,"3",Administration,"44","48579"
LL212,Chauffagiste,"0.35","20499",Niveau de qualification élevé requis.,"7",Administration,"37","18069"
MM313,Aide-soignant,"0.1","23107",Redistribution géographique des emplois.,"10",Agroalimentaire,"25","16075"
MM313,Aide-soignant,"0.05","41946",Rupture entre formation et compétences demandées.,"1",BTP,"26","51500"
MM313,Aide-soignant,"0.05","31182",Rémunération peu attractive et conditions difficiles.,"7",Administration,"25","60227"
MM313,Aide-soignant,"0.05","14010",Rupture entre formation et compétences demandées.,"1",Santé,"49","37216"
NN414,Technicien informatique,"0.1","9223",Demande croissante liée à l'évolution démographique.,"10",Santé,"29","58585"
NN414,Technicien informatique,"0.5","5327",Rupture entre formation et compétences demandées.,"0",Services,"31","14743"
NN414,Technicien informatique,"0.75","6945",Demande croissante liée à l'évolution démographique.,"0",Administration,"34","51932"
OO515,Responsable logistique,"0.65","18302",Redistribution géographique des emplois.,"0",Santé,"35","41733"
OO515,Responsable logistique,"0.05","10707",Automatisation partielle réduisant les besoins.,"7",BTP,"44","37217"
PP616,Formateur,"0.98","41558",Demande croissante liée à l'évolution démographique.,"1",Agroalimentaire,"34","38244"
PP616,Formateur,"0.85","28193",Difficulté de recrutement liée au manque de formation spécialisée.,"3",Agroalimentaire,"29","27192"
PP616,Formateur,"0.75","12092",Automatisation partielle réduisant les besoins.,"1",Santé,"37","55779"
QQ717,Community manager,"0.75","48038",Demande croissante liée à l'évolution démographique.,"3",Agroalimentaire,"35","27054"
QQ717,Community manager,"0.98","11496",Difficulté de recrutement liée au manque de formation spécialisée.,"2",Informatique,"36","15915"
QQ717,Community manager,"0.35","41587",Redistribution géographique des emplois.,"10",BTP,"40","30605"
RR818,Consultant financier,"0.65","23422",Redistribution géographique des emplois.,"1",Services,"26","49514"
RR818,Consultant financier,"0.5","15023",Demande croissante liée à l'évolution démographique.,"5",Transport,"37","47931"
RR818,Consultant financier,"0.75","18826",Rémunération peu attractive et conditions difficiles.,"0",Commerce,"47","29497"
RR818,Consultant financier,"0.75","42241",Rupture entre formation et compétences demandées.,"2",Agroalimentaire,"32","28641"
SS919,Ergothérapeute,"0.92","27215",Rémunération peu attractive et conditions difficiles.,"5",Agroalimentaire,"32","16296"
SS919,Ergothérapeute,"0.5","24326",Automatisation partielle réduisant les besoins.,"3",Agroalimentaire,"40","43538"
