"mission_id","rome_code","mission_description"
"1",A1101,Assurer la relation client et la prise de commande.
"2",A1101,Préparer des commandes et gérer les stocks.
"3",A1101,Réaliser des interventions sur chantier.
"4",A1101,Mettre en place des actions qualité et sécurité.
"5",A1101,Réaliser des diagnostics techniques et proposer des solutions.
"6",H2502,Concevoir et développer des modules logiciels.
"7",H2502,Assurer la maintenance préventive et corrective des équipements.
"8",H2502,Concevoir et développer des modules logiciels.
"9",H2502,Mettre en place des actions qualité et sécurité.
"10",M1607,Assurer la maintenance préventive et corrective des équipements.
"11",M1607,Gérer la comptabilité et les déclarations fiscales.
"12",M1607,Gérer la comptabilité et les déclarations fiscales.
"13",M1607,Préparer des commandes et gérer les stocks.
"14",G1201,Concevoir et développer des modules logiciels.
"15",G1201,Assurer la maintenance préventive et corrective des équipements.
"16",G1201,Assurer un suivi personnalisé des patients.
"17",N4105,Gérer la comptabilité et les déclarations fiscales.
"18",N4105,Organiser et superviser l'équipe opérationnelle.
"19",N4105,Assurer la maintenance préventive et corrective des équipements.
"20",C1703,Mettre en place des actions qualité et sécurité.
"21",C1703,Préparer des commandes et gérer les stocks.
"22",C1703,Assurer la maintenance préventive et corrective des équipements.
"23",K2103,Assurer la maintenance préventive et corrective des équipements.
"24",K2103,Assurer un suivi personnalisé des patients.
"25",K2103,Mettre en place des actions qualité et sécurité.
"26",K2103,Organiser et superviser l'équipe opérationnelle.
"27",D1206,Réaliser des diagnostics techniques et proposer des solutions.
"28",D1206,Réaliser des interventions sur chantier.
"29",D1206,Assurer la maintenance préventive et corrective des équipements.
"30",D1206,Concevoir et développer des modules logiciels.
"31",D1206,Organiser et superviser l'équipe opérationnelle.
"32",E1102,Assurer un suivi personnalisé des patients.
"33",E1102,Concevoir et développer des modules logiciels.
"34",E1102,Gérer la comptabilité et les déclarations fiscales.
"35",E1102,Mettre en place des actions qualité et sécurité.
"36",E1102,Concevoir et développer des modules logiciels.
"37",F3301,Assurer la maintenance préventive et corrective des équipements.
"38",F3301,Réaliser des diagnostics techniques et proposer des solutions.
"39",F3301,Préparer des commandes et gérer les stocks.
"40",F3301,Assurer un suivi personnalisé des patients.
"41",F3301,Assurer la relation client et la prise de commande.
"42",F3301,Assurer la relation client et la prise de commande.
"43",J1201,Assurer un suivi personnalisé des patients.
"44",J1201,Assurer un suivi personnalisé des patients.
"45",J1201,Organiser et superviser l'équipe opérationnelle.
"46",L2104,Réaliser des diagnostics techniques et proposer des solutions.
"47",L2104,Organiser et superviser l'équipe opérationnelle.
"48",L2104,Mettre en place des actions qualité et sécurité.
"49",L2104,Assurer un suivi personnalisé des patients.
"50",L2104,Gérer la comptabilité et les déclarations fiscales.
"51",L2104,Assurer la relation client et la prise de commande.
"52",P1202,Mettre en place des actions qualité et sécurité.
"53",P1202,Gérer la comptabilité et les déclarations fiscales.
"54",P1202,Assurer la relation client et la prise de commande.
"55",P1202,Assurer la relation client et la prise de commande.
"56",P1202,Assurer la relation client et la prise de commande.
"57",P1202,Assurer la relation client et la prise de commande.
"58",S5404,Mettre en place des actions qualité et sécurité.
"59",S5404,Préparer des commandes et gérer les stocks.
"60",S5404,Assurer la maintenance préventive et corrective des équipements.
"61",T9401,Réaliser des interventions sur chantier.
"62",T9401,Organiser et superviser l'équipe opérationnelle.
"63",T9401,Gérer la comptabilité et les déclarations fiscales.
"64",T9401,Assurer la relation client et la prise de commande.
"65",T9401,Réaliser des diagnostics techniques et proposer des solutions.
"66",T9401,Mettre en place des actions qualité et sécurité.
"67",Q1503,Préparer des commandes et gérer les stocks.
"68",Q1503,Gérer la comptabilité et les déclarations fiscales.
"69",Q1503,Réaliser des interventions sur chantier.
"70",Q1503,Gérer la comptabilité et les déclarations fiscales.
"71",Q1503,Assurer la relation client et la prise de commande.
"72",Q1503,Réaliser des diagnostics techniques et proposer des solutions.
"73",R3002,Assurer la relation client et la prise de commande.
"74",R3002,Réaliser des diagnostics techniques et proposer des solutions.
"75",R3002,Gérer la comptabilité et les déclarations fiscales.
"76",R3002,Assurer un suivi personnalisé des patients.
"77",R3002,Mettre en place des actions qualité et sécurité.
"78",B1401,Mettre en place des actions qualité et sécurité.
"79",B1401,Réaliser des interventions sur chantier.
"80",B1401,Concevoir et développer des modules logiciels.
"81",V4305,Préparer des commandes et gérer les stocks.
"82",V4305,Réaliser des interventions sur chantier.
"83",V4305,Concevoir et développer des modules logiciels.
"84",V4305,Assurer la relation client et la prise de commande.
"85",V4305,Assurer un suivi personnalisé des patients.
"86",V4305,Assurer la relation client et la prise de commande.
"87",X2202,Assurer un suivi personnalisé des patients.
"88",X2202,Réaliser des diagnostics techniques et proposer des solutions.
"89",X2202,Mettre en place des actions qualité et sécurité.
"90",X2202,Mettre en place des actions qualité et sécurité.
"91",Y3101,Préparer des commandes et gérer les stocks.
"92",Y3101,Gérer la comptabilité et les déclarations fiscales.
"93",Y3101,Préparer des commandes et gérer les stocks.
"94",Y3101,Mettre en place des actions qualité et sécurité.
"95",Z4101,Réaliser des interventions sur chantier.
