id_offre,date_publication,type_contrat,salaire_offre,statut,code_rome,id_region
1,2024-02-09,Interim,2265,Ouverte,G1801,6
2,2024-04-29,CDI,5176,Pourvue,K2107,53
3,2024-02-09,CDD,3691,Ouverte,I1308,44
4,2024-04-21,Stage,665,Ouverte,E1108,52
5,2024-01-08,Stage,490,Expiree,G1801,24
6,2024-01-10,Alternance,1705,Ouverte,E1106,1
7,2024-03-27,CDI,2065,Ouverte,D1507,6
8,2024-05-28,Stage,1097,Pourvue,N1303,75
9,2024-03-08,Stage,518,Ouverte,I1310,52
10,2024-05-31,CDD,3730,Expiree,H2301,32
11,2024-10-09,CDD,1916,Ouverte,H2206,28
12,2024-10-31,Alternance,1427,Ouverte,M1402,28
13,2024-02-27,Stage,837,Pourvue,I1310,32
14,2024-04-10,Stage,1022,Ouverte,G1801,94
15,2024-08-25,Stage,500,Ouverte,H2911,24
16,2024-03-15,CDD,1890,Expiree,M1810,24
17,2024-01-13,Stage,1016,Pourvue,G1801,52
18,2024-01-12,CDI,3702,Ouverte,L1507,52
19,2024-07-17,Stage,536,Ouverte,M1402,75
20,2024-01-09,Interim,4556,Expiree,M1805,75
21,2024-11-15,Interim,4223,Pourvue,K2107,1
22,2024-01-06,CDI,4884,Ouverte,E1108,3
23,2024-07-30,CDD,5432,Pourvue,M1402,32
24,2024-11-05,CDD,5565,Pourvue,M1806,75
25,2024-06-04,CDI,2905,Ouverte,H2206,28
26,2024-08-13,Interim,3132,Ouverte,I1605,24
27,2024-06-04,Interim,3936,Ouverte,M1502,44
28,2024-10-10,Stage,932,Ouverte,N4105,76
29,2024-03-13,Alternance,1296,Ouverte,K2111,4
30,2024-03-02,CDI,2238,Pourvue,H2301,3
31,2024-01-19,CDD,3054,Ouverte,I1308,93
32,2024-07-09,Alternance,1575,Ouverte,G1203,2
33,2024-05-28,CDD,3324,Ouverte,M1403,53
34,2024-09-22,Stage,1190,Ouverte,F1605,1
35,2024-05-05,Stage,528,Pourvue,I1310,44
36,2024-01-11,CDI,2709,Ouverte,M1806,1
37,2024-06-21,Alternance,920,Ouverte,D1507,75
38,2024-11-28,CDD,2473,Ouverte,F1603,93
39,2024-07-13,Alternance,1550,Pourvue,K2111,6
40,2024-07-29,Interim,2839,Ouverte,M1502,84
41,2024-07-02,Stage,538,Ouverte,H2911,84
42,2024-02-08,Stage,713,Ouverte,G1801,75
43,2024-01-12,CDI,6826,Ouverte,F1603,75
44,2024-03-01,Alternance,1778,Pourvue,I1308,75
45,2024-07-01,Interim,4595,Expiree,M1810,24
46,2024-11-13,CDD,5130,Ouverte,M1502,3
47,2024-05-26,Interim,4029,Expiree,E1106,1
48,2024-03-27,CDD,3903,Expiree,K2112,94
49,2024-08-21,Stage,962,Ouverte,M1402,32
50,2024-06-19,Stage,644,Ouverte,M1806,1
51,2024-06-14,CDD,5339,Expiree,L1302,84
52,2024-04-06,CDI,2179,Pourvue,H2301,52
53,2024-10-25,Interim,4599,Pourvue,G1801,94
54,2024-09-05,CDI,2442,Ouverte,N4105,32
55,2024-08-16,Stage,793,Pourvue,E1106,75
56,2024-03-28,Stage,660,Ouverte,E1108,28
57,2024-05-18,Alternance,820,Pourvue,G1203,2
58,2024-06-29,CDI,5905,Ouverte,F1605,32
59,2024-07-29,CDI,2079,Ouverte,H2206,2
60,2024-06-19,Interim,3402,Ouverte,N4105,2
61,2024-01-27,Alternance,1611,Ouverte,H2911,6
62,2024-07-10,CDD,5404,Ouverte,H2206,4
63,2024-10-30,Interim,3198,Pourvue,I1310,28
64,2024-08-16,CDI,5199,Ouverte,G1203,3
65,2024-05-24,Alternance,1326,Ouverte,M1502,6
66,2024-05-21,Alternance,1053,Ouverte,H2206,76
67,2024-07-31,Alternance,1328,Ouverte,L1507,4
68,2024-07-18,Stage,722,Pourvue,M1502,75
69,2024-09-30,Stage,451,Ouverte,D1507,4
70,2024-07-12,CDI,3376,Ouverte,E1108,76
71,2024-01-05,CDD,5705,Ouverte,E1106,27
72,2024-09-21,Stage,816,Ouverte,M1806,84
73,2024-04-24,CDD,3809,Pourvue,I1605,6
74,2024-06-24,Interim,2127,Ouverte,M1810,32
75,2024-08-01,Interim,2603,Expiree,E1106,1
76,2024-07-14,Interim,2290,Expiree,E1108,52
77,2024-06-10,Stage,818,Pourvue,L1507,93
78,2024-06-27,CDI,3062,Ouverte,H2206,44
79,2024-02-03,Interim,2936,Expiree,M1403,53
80,2024-04-28,CDI,2865,Ouverte,N1105,76
81,2024-03-27,Alternance,1465,Ouverte,G1203,75
82,2024-08-31,CDD,3316,Pourvue,L1401,94
83,2024-03-05,CDI,5940,Ouverte,M1402,28
84,2024-11-01,CDD,2954,Ouverte,H2206,4
85,2024-01-14,CDD,4098,Ouverte,H2206,44
86,2024-10-24,Stage,679,Expiree,N4105,32
87,2024-03-12,Alternance,1711,Expiree,E1103,44
88,2024-05-10,Stage,799,Ouverte,H2911,28
89,2024-04-19,CDD,4074,Ouverte,M1403,75
90,2024-04-15,Alternance,823,Ouverte,H2911,44
91,2024-11-25,Alternance,1313,Expiree,M1806,75
92,2024-11-10,Stage,495,Ouverte,E1103,6
93,2024-07-02,Interim,2519,Ouverte,N4105,11
94,2024-09-03,Alternance,826,Pourvue,E1106,44
95,2024-01-10,Stage,1092,Ouverte,N1105,2
96,2024-03-08,CDD,2130,Ouverte,I1308,32
97,2024-05-08,CDD,5327,Pourvue,M1805,4
98,2024-06-16,Alternance,1348,Pourvue,H2206,6
99,2024-06-30,CDD,3579,Expiree,K2107,76
100,2024-02-03,CDD,5414,Expiree,M1810,75
101,2024-08-18,Alternance,1217,Ouverte,F1701,93
102,2024-10-29,Stage,724,Pourvue,N4105,94
103,2024-04-27,Stage,911,Ouverte,M1805,1
104,2024-03-23,CDD,3449,Pourvue,H2301,76
105,2024-01-17,CDD,4317,Ouverte,M1810,53
106,2024-05-11,Interim,2351,Expiree,N1105,52
107,2024-08-03,CDI,4682,Pourvue,E1108,44
108,2024-08-08,CDD,5479,Ouverte,I1310,94
109,2024-04-24,CDI,4204,Ouverte,I1605,28
110,2024-04-05,CDD,1863,Ouverte,I1308,6
